nuevo	nove
empobrecedor	impovriente
espeleológico	speleologic
gingival	gingival
identificador	identificante
indócil	indocile
melómano	melomane
monosilábico	monosyllabic
oferente	offerente
penalista	penalista
psicopático	psychopathic
ratero	fur
activador	activante
andorrano	andorran
antropófago	anthropophage
ciático	sciatic
derrochador	dispenditive
disléxico	dyslexic
expandible	expandibile
glúteo	glutee
intravascular	intravascular
judaico	judaic
madurativo	maturative
matricial	matricial
mozartiano	mozartian
panóptico	panoptic
penitencial	penitential
policromo	polychrome
polígono	polygone
prono	pron
refinador	raffinante
rotuliano	rotulian
cambiable	cambiabile
compresivo	compressive
criogénico	cryogenic
desintegrador	disintegrante
estereofónico	stereophonic
falciforme	falciforme
fontanero	plumber
kuwaití	kuwaiti
legislador	legiferante
ocupante	occupante
plantar	plantar
proliferativo	proliferative
psicofisiológico	psychophysiologic
rectoral	rectoral
subalpino	subalpin
trigonométrico	trigonometric
xerófilo	xerophile
bailador	dansante
batallador	battaliante
broncopulmonar	bronchopulmonar
congestivo	congestive
constrictor	constrictor
corneal	corneal
célibe	celibe
ducal	ducal
habilitador	habilitatori
marcador	marcante
maxilar	maxillar
minuto	minute
modificatorio	modificatori
nosológico	nosologic
numerario	numerari
parapléjico	paraplegic
piroclástico	pyroclastic
adormecedor	addormiente
alimentador	alimentante
arenisco	arenose
cisterciense	cisterciense
coaxial	coaxial
creacionista	creationista
deshumanizante	dishumanisante
estrábico	strabic
extraparlamentario	extraparlamentari
férrico	ferric
geocéntrico	geocentric
harinoso	farinose
ilustrador	illustrante
incitador	incitatori
invalidante	invalidante
lavable	lavabile
litigante	litigante
multicelular	multicellular
mutagénico	mutagenic
plúmbeo	plumbee
pulsátil	pulsatile
silábico	syllabic
tangente	tangente
basáltico	basaltic
biogenético	biogenetic
cargador	cargatori
casuístico	casuistic
contractivo	contractive
demagogo	demagogic
denotativo	denotative
detractor	detractori
ocultista	occultista
parasimpático	parasympathic
pictográfico	pictographic
sucedáneo	succedanee
antitetánico	antitetanic
bulímico	bulimic
criador	elevante
diatónico	diatonic
divulgador	divulgante
escalador	escalante
frigio	phrygie
heterónomo	heteronome
inarticulado	inarticulate
isotópico	isotopic
lacrimal	lacrimal
limitador	limitatori
mandarín	mandarin
multidireccional	multidirectional
negroide	negroide
numismático	numismatic
peciolado	petiolate
predatorio	predatori
prensil	prensile
reductivo	reductive
reemplazable	reimplaciabile
seboso	sebose
trovador	trovante
vitriólico	vitriolic
achacable	imputabile
adamantino	adamantin
amador	amante
animador	animante
apriorístico	aprioristic
binomial	binomial
braquial	brachial
conciliar	conciliar
dador	dante
dieléctrico	dielectric
edificable	edificabile
estroboscópico	stroboscopic
hexadecimal	hexadecimal
intercelular	intercellular
maximalista	maximalista
mayestático	majestatic
mímico	mimic
paracaidista	paracaditista
peruviano	peruvian
pretendiente	pretendente
prolífero	prolifere
pugilístico	pugilistic
purgativo	purgative
revanchista	revanchista
segregacionista	segregationista
trifásico	triphasic
acariciador	caressante
amoniacal	ammoniacal
anexionista	annexionista
aperitivo	aperitive
calmoso	calme
cansador	fatigante
clástico	clastic
coronal	coronal
dañoso	damnose
dioico	dioic
dispensador	dispensante
escapular	scapular
estilográfico	stilographic
filtrante	filtrante
fungible	fungibile
inmensurable	immensurabile
interdigital	interdigital
irredimible	irredimibile
muelle	molle
pequinés	pekinese
petitorio	petitori
reducible	reducibile
repetible	repetibile
sazonador	condiente
segmentario	segmentari
seráfico	seraphic
vinoso	vinose
átono	atone
abolicionista	abolitionista
antihigiénico	antihygienic
auxiliador	auxiliante
avaricioso	avaritiose
comunicable	communicabile
consuntivo	consumptive
etológico	ethologic
humoral	humoral
inelástico	inelastic
irritativo	irritative
latitudinal	latitudinal
melindroso	meticulose
mosaico	mosaic
navegador	navigante
reportero	reporter
samaritano	samaritan
sapiente	sapiente
tomista	thomista
trajano	trajan
vasallo	vasallo
abastecedor	forniente
abstencionista	abstentionista
aprovechador	profitante
compartible	compartibile
conector	connectente
escudero	scuter
hidrofóbico	hydrophobic
indiviso	indivise
intervertebral	intervertebral
negociante	negotiante
oftálmico	ophthalmic
particularista	particularista
plateresco	plateresc
postclásico	postclassic
pseudocientífico	pseudoscientific
sumergible	submergibile
vulcanológico	vulcanologic
asaltante	assaltante
carencial	carential
definidor	definiente
depresor	depressor
descubridor	discoperiente
diletante	dilettante
endocrinológico	endocrinologic
friolero	frigidose
genotípico	genotypic
imitador	imitante
magiar	magyar
micológico	mycologic
milenarista	millenarista
natatorio	natatori
penetrable	penetrabile
perecible	peribile
salvable	salvabile
semanario	septimanal
sexagenario	sexagenari
tartárico	tartaric
ultrajante	ultragiante
abortista	abortista
agitador	agitante
agroclimático	agroclimatic
barbero	barber
basculante	basculante
bemol	bemolle
clasificable	classificabile
conductivo	conductive
descifrable	decifrabile
diafragmático	diaphragmatic
directorio	directori
espectroscópico	spectroscopic
hematófago	hematophage
humorista	humorista
inutilizable	inutilisabile
irresoluto	irresolute
patentable	patentabile
plioceno	pliocen
prefijo	prefixe
psicofarmacológico	psychopharmacologic
sarmentoso	sarmentose
vesicular	vesicular
aconfesional	aconfessional
antieconómico	antieconomic
arábico	arabic
bórico	boric
eoceno	eocen
ignífugo	ignifuge
negador	negante
piojoso	pedicular
raquídeo	rhachidee
salaz	salace
teosófico	theosophic
usurpador	usurpante
anticanceroso	anticancerose
artesiano	artesian
atonal	atonal
caudal	caudal
contrastable	contrastabile
duplo	duple
finés	finnese
ghanés	ghanese
golpeador	colpante
herbicida	herbicida
inconciliable	inconciliabile
intradérmico	intradermic
irremisible	irremissibile
maltratador	maltractante
melífero	mellifere
modificador	modificante
molar	molar
monosílabo	monosyllabe
nodular	nodular
noticiero	notitiari
perforador	perforatori
simulador	simulante
sulfhídrico	sulfhydric
trasladable	translatabile
trigémino	trigemine
vividor	vivitori
amplificador	amplificante
arabesco	arabesc
atrófico	atrophic
convocatorio	convocatori
epicúreo	epicuree
excarcelable	disincarcerabile
hagiográfico	hagiographic
homeostático	homeostatic
liminar	liminar
nonagenario	nonagenari
obseso	obsedite
pensionado	pensionate
peripatético	peripatetic
policíclico	polycyclic
prestatario	prestatari
reafirmante	reaffirmante
remitente	remittente
reverendísimo	reverendissime
suavizante	ablandante
valvular	valvular
apreciativo	appreciative
articulatorio	articulatori
bufonesco	buffonesc
carcelero	carcerer
caviloso	cavillose
cerúleo	cerulee
chauvinista	chauvinistic
claudicante	claudicante
cultivador	cultivante
ferruginoso	ferruginose
filiforme	filiforme
idiosincrático	idiosyncratic
liberiano	liberian
mordiente	mordente
multifocal	multifocal
opalino	opalin
organicista	organicista
oyente	audiente
pelviano	pelvian
planctónico	planctonic
propiciador	propitiante
rabínico	rabbinic
subsistente	subsistente
terrícola	terricola
usurero	usurari
visitador	visitatori
arrendatario	locatari
bimensual	bimensual
bivalente	bivalente
compresor	compressor
decidor	dicente
descampado	discampate
ejecutante	executante
extrauterino	extrauterin
eyaculador	ejaculante
gramíneo	graminee
hidrodinámico	hydrodynamic
incontinente	incontinente
indigerible	indigeribile
litigioso	litigiose
nefrítico	nephritic
panteísta	pantheista
sagitario	sagittari
tuberoso	tuberose
babilonio	babylonian
bifocal	bifocal
bordelés	bordelese
capsular	capsular
contuso	contuse
dehiscente	dehiscente
entrópico	entropic
euforizante	euphorisante
febrífugo	febrifuge
hidrogeológico	hydrogeologic
incomunicable	incommunicabile
infumable	infumabile
irreducible	irreducibile
mozambiqueño	mozambican
neuroquirúrgico	neurochirurgic
pagador	pagante
pincho	elegante
quíntuple	quintuple
restaurativo	restaurative
supernumerario	supernumerari
alsaciano	alsatian
aquilino	aquilin
blanqueador	blanchiente
cairota	cairota
convertidor	convertitori
estereotípico	stereotypic
esteárico	stearic
exegético	exegetic
forajido	fugitive
geomagnético	geomagnetic
germinativo	germinative
horrísono	horrisone
justiciable	justitiabile
maniaco	maniac
pentatónico	pentatonic
postulante	postulante
psicotécnico	psychotechnic
puberal	puberal
pulsante	pulsante
retornable	retornabile
rábico	rabic
semental	seminal
triturador	trituratori
órfico	orphic
acaparador	accaparante
arcaizante	archaisante
basilical	basilical
batidor	battitori
bifásico	biphasic
elogiable	elogisabile
frutero	de fruta
hebraico	hebraic
hemorroidal	hemorrhoidal
inapetente	inappetente
incomible	inedibile
marsupial	marsupial
meníngeo	meningee
miliar	miliar
nutriente	nutriente
oscilatorio	oscillatori
parvo	parve
polinesio	polynesian
prejudicial	prejudicial
probador	probante
pánico	panic
recriminatorio	recriminatori
reptante	reptante
sefardita	sefardita
somnífero	somnifere
taumatúrgico	thaumaturgic
tibial	tibial
usurario	usurari
adorador	adorante
arable	arabile
barométrico	barometric
biocompatible	biocompatibile
cantonés	cantonese
cognoscible	cognoscibile
concertante	concertante
congolés	congolese
dipsómano	dipsomane
distorsionador	distorquente
manipulativo	manipulative
mnemotécnico	mnemotechnic
modulador	modulatori
objetable	objectabile
oponente	opponente
palpebral	palpebral
papista	papista
pasante	passante
pigmeo	pygmee
recurrible	recurribile
semita	semitic
traqueal	tracheal
trilingüe	trilingue
ugandés	ugandese
celulósico	cellulosic
ciliar	ciliar
consumible	consumibile
conviviente	convivente
dimisionario	dimissionari
epónimo	eponyme
fascinador	fascinatori
hidrostático	hydrostatic
inatacable	inattaccabile
intersindical	intersyndical
isométrico	isometric
motociclista	motocyclista
neurovegetativo	neurovegetative
peptídico	peptidic
pestífero	pestifere
prestante	prestante
publicable	publicabile
rastreador	traciante
reajustable	readjustabile
romboidal	rhomboidal
sahariano	saharian
silíceo	silicee
subcortical	subcortical
sudcoreano	sudcorean
unisexual	unisexual
aflictivo	afflictive
anticiclónico	anticyclonic
anular	anular
carcinógeno	carcinogene
cardiotónico	cardiotonic
ceroso	cerose
controvertible	controvertibile
equiparado	equate
estudiante	studiante
fitófago	phytophage
glutámico	glutamic
higienista	hygienista
maleante	malleante
masticatorio	masticatori
metalingüístico	metalinguistic
monogámico	monogamic
neoplatónico	neoplatonic
operable	operabile
proponente	proponente
recuperador	recuperante
remolcador	remolcante
reparable	reparabile
revocable	revocabile
rubro	rubre
rumiante	ruminante
saurio	saurian
tumultuario	tumultuari
ultrafino	ultrafin
vocálico	vocalic
acosador	persequente
ambidiestro	ambidextere
autopropulsado	autopropulsate
contraceptivo	contraceptive
criadero	elevante
cuprífero	cuprifere
equilibrador	equilibratori
excitable	excitabile
farisaico	pharisaic
inmemorable	immemorabile
licuable	liquefacibile
malnutrido	malnutrite
monista	monista
monocilíndrico	monocylindric
monovalente	monovalente
parnasiano	parnassian
precipitante	precipitante
prohibicionista	prohibitionista
reflejo	reflexe
salubre	salubre
semipermanente	semipermanente
sufridor	suffritori
transformable	transformabile
vinílico	vinylic
yaciente	jacente
acondicionador	conditionante
acumulable	accumulabile
anabolizante	anabolisante
analizable	analysabile
continuador	continuante
criticón	criticante
estomatológico	stomatologic
exclusivista	exclusivista
forjador	forgiante
generalizador	generalisante
intracomunitario	intracommunitari
mendeliano	mendelian
monetarista	monetarista
paleocristiano	paleochristian
péndulo	pendule
sedativo	sedative
toponímico	toponymic
transpirable	transpirabile
troposférico	tropospheric
vasoconstrictor	vasoconstrictor
acumulador	accumulante
aeronaval	aeronaval
anómico	anomic
cacofónico	cacophonic
caudado	caudate
ciclotímico	cyclothymic
ciliado	ciliate
cirílico	cyrillic
consubstancial	consubstantial
deleitable	delectabile
denominador	denominante
detonador	detonatori
digitado	digitate
donjuanesco	donjuanesc
eremítico	eremitic
espectador	spectante
fermentativo	fermentative
gobernable	governabile
indubitable	indubitabile
inmotivado	immotivate
intemperante	intemperante
macarrónico	macaronic
nomotético	nomothetic
odorífero	odorifere
oficiante	officiante
oponible	opponibile
palustre	palustre
policéntrico	polycentric
rebatible	rebattibile
sembrador	seminante
semítico	semitic
sentenciador	sententiante
tetravalente	tetravalente
trivalente	trivalente
urogenital	urogenital
viajante	viagiante
angulado	angulate
antipatriótico	antipatriotic
apodíctico	apodictic
borrador	borrante
capón	castrate
chantajista	chantagista
circunstanciado	circumstantiate
conmutativo	commutative
degradable	degradabile
disgregador	disgregante
exhibidor	exhibiente
idolátrico	idolatric
incognoscible	incognoscibile
instigador	instigante
islamita	islamita
mahometano	mahometan
maronita	maronita
modelador	modellante
moldavo	moldave
monofásico	monophasic
octagonal	octagonal
orogénico	orogenic
palúdico	paludic
resolutorio	resolutori
sofístico	sophistic
suborbital	suborbital
substantivo	substantive
timpánico	tympanic
tonante	tonante
transformativo	transformative
urémico	uremic
vibrátil	vibratile
zootécnico	zootechnic
bazo	bai
bonapartista	bonapartista
captador	captante
configurable	configurabile
descolonizador	decolonisante
escrotal	scrotal
eugenésico	eugenic
fórmico	formic
gaélico	gaelic
hemostático	hemostatic
incunable	incunabile
insociable	insociabile
isotérmico	isothermic
numerable	numerabile
paralizador	paralysatori
ponderable	ponderabile
ponderoso	ponderose
pontifical	pontifical
potestativo	potestative
pupilar	pupillar
rastreable	traciabile
refrigerador	refrigeratori
transpacífico	transpacific
trazador	traciante
adrenal	adrenal
aeropostal	aeropostal
aferente	afferente
calabrés	calabrese
canicular	canicular
corregible	corrigibile
crustáceo	crustacee
disculpable	disculpabile
enganchador	attachante
fasciculado	fasciculate
fermentable	fermentabile
granívoro	granivore
indehiscente	indehiscente
involutivo	involutive
peristáltico	peristaltic
pronominal	pronominal
radiométrico	radiometric
reivindicatorio	revindicatori
seborreico	seborrheic
segregador	segregatori
sifilítico	syphilitic
tebano	theban
telemétrico	telemetric
vermífugo	vermifuge
vindicativo	vindicative
agotable	exhauribile
antimilitarista	antimilitarista
claviforme	claviforme
cordado	cordate
criminalista	criminalista
desmoralizador	dismoralisante
electroconvulsivo	electroconvulsive
fertilizador	fertilisatori
grifo	crispe
impublicable	impublicabile
indagador	indagante
industrialista	industrialista
informador	informante
inhabitado	inhabitate
invendible	invendibile
laso	lasse
metalífero	metallifere
metílico	methylic
microcristalino	microcrystallin
mongólico	mongolic
oligotrófico	oligotrophic
perdonable	pardonabile
platicador	confabulante
reformatorio	reformatori
sesgo	oblique
sobresaturado	supersaturate
superciliar	superciliar
taquigráfico	tachygraphic
transformacional	transformational
vibrador	vibrante
absorbible	absorbibile
abstinente	abstinente
adverbial	adverbial
antinómico	antinomic
conciliable	conciliabile
consentidor	consentiente
contráctil	contractile
costroso	crustose
danubiano	danubian
diacrítico	diacritic
equilibrista	equilibristic
groso	grosse
iconológico	iconologic
intransitivo	intransitive
mitótico	mitotic
nocional	notional
reconciliador	reconciliante
sapiencial	sapiential
sardo	sarde
secuestrador	sequestrante
tirreno	tyrrhen
tordo	turdic
toxicómano	toxicomane
tridentino	tridentin
ultramontano	ultramontan
unísono	unisone
visigótico	visigothic
abarcable	imbraciabile
adaptador	adaptante
aforístico	aphoristic
aspirador	aspiratori
caliginoso	caliginose
cianhídrico	cyanhydric
codiciable	concupiscibile
conceptualista	conceptualista
coprófago	coprophage
documentario	documentari
escaleno	scalen
eurasiático	eurasiatic
eutrófico	eutrophic
flavo	flave
fotométrico	photometric
galgo	gulose
ideográfico	ideographic
incompresible	incompressibile
inoperable	inoperabile
isotrópico	isotropic
locativo	locative
mononuclear	mononuclear
neofascista	neofascista
palmípedo	palmipede
piezoeléctrico	piezoelectric
presocrático	presocratic
tetánico	tetanic
tórpido	torpite
vivíparo	vivipare
alborotador	tumultuose
alifático	aliphatic
amónico	ammonic
aniónico	anionic
balinés	balinese
carminativo	carminative
circumpolar	circumpolar
consonántico	consonantic
corresponsal	correspondente
donador	donatori
electrodoméstico	electrodomestic
estigio	stygie
eufónico	euphonic
hemipléjico	hemiplegic
hipnotizante	hypnotisante
lavador	lavante
morador	morante
palmeado	palmate
probabilista	probabilista
proliferante	proliferante
purgante	purgante
rectificador	rectificatori
seudónimo	pseudonyme
sugestionable	suggestionabile
tabular	tabular
ulcerativo	ulcerative
zafado	escappate
aturdidor	esturdiente
celiaco	celiac
ciceroniano	ciceronian
definido	definite
edificatorio	edificatori
electrotécnico	electrotechnic
epigástrico	epigastric
esclerótico	sclerotic
estante	stante
filmador	filmante
fosforado	phosphorate
granulométrico	granulometric
incentivador	stimulante
juzgador	judicante
liberticida	liberticida
nominalista	nominalista
perseguible	persequibile
plumoso	plumose
presionante	pressante
recordable	recordabile
reforzador	reinfortiante
renaciente	renascente
reservista	reservista
rigorista	rigorista
semipermeable	semipermeabile
tahitiano	tahitian
transcontinental	transcontinental
vestigial	vestigial
vesánico	vesanic
virgiliano	virgilian
védico	vedic
ístmico	isthmic
asonante	assonante
astado	hastate
autoadhesivo	autoadhesive
capitolino	capitolin
carolingio	carolingian
catabólico	catabolic
celador	celatori
chinche	cimice
chovinista	chauvinista
confundible	confundibile
conjuntival	conjunctival
descriptible	descriptibile
directoral	directoral
eludible	eludibile
encomiástico	encomiastic
estrófico	strophic
estólido	stolide
globuloso	globulose
granizado	grandinate
interinsular	interinsular
justificador	justificante
laudable	laudabile
medo	mede
metacéntrico	metacentric
monofónico	monophonic
namibio	namibian
neutralizador	neutralisante
orante	orante
perifrástico	periphrastic
recurvado	recurvate
representable	representabile
ritualista	ritualista
secador	secatori
seleccionador	selectionante
sensibilizador	sensibilisante
sápido	sapite
tomador	prendente
verboso	verbose
vínico	vinic
anquilosante	ankylosante
calcográfico	chalcographic
combinable	combinabile
coordinativo	coordinative
corregidor	corrigente
cronométrico	chronometric
cárstico	karstic
digresivo	digressive
endoplasmático	endoplasmatic
engañador	deludente
fonatorio	phonatori
herbario	herbal
iniciador	initiante
interruptor	interruptor
interóseo	interossee
jocundo	jocunde
lenticular	lenticular
moravo	morave
obstaculizador	obstruente
pivotante	pivotante
polinómico	polynomial
prosódico	prosodic
subclavio	subclavian
teutónico	teutonic
transgresivo	transgressive
vivificador	vivificante
asignable	assignabile
autodidacto	autodidacte
babélico	babelic
branquial	branchial
báquico	bacchic
chupador	sugente
comerciable	commerciabile
compilador	compilante
concertador	concertatori
cristalográfico	crystallographic
determinable	determinabile
díptero	diptere
eferente	efferente
ejecutorio	executori
epigráfico	epigraphic
galvánico	galvanic
gambiano	gambian
grafológico	graphologic
incinerador	incinerante
maldecido	maledicite
mesentérico	mesenteric
necrófago	necrophage
obtenible	obtenibile
pasador	passatori
propagandista	propagandista
regente	regente
respirador	respirante
selector	selector
seroso	serose
subpolar	subpolar
sustentador	sustentatori
uniformador	uniformante
urbanista	urbanista
velador	velante
vinífero	vinifere
vitaminado	vitaminisate
anamórfico	anamorphic
anhidro	anhydre
apelable	appellabile
barrado	barrate
bimotor	bimotor
calculable	calculabile
catarral	catarrhal
cismático	schismatic
compilatorio	compilatori
comprobatorio	confirmatori
confortante	confortante
cosechador	colligente
deslumbrador	offuscante
ebúrneo	eburnee
embellecedor	imbelliente
escudriñador	scrutinante
especioso	speciose
exclamativo	exclamative
excrementicio	excrementicie
extracontractual	extracontractual
extralegal	extralegal
ferromagnético	ferromagnetic
fortalecedor	fortificante
giboso	gibbose
hembra	feminin
heroinómano	heroinomane
hipotónico	hypotonic
importuno	importun
incoercible	incoercibile
indisponible	indisponibile
inoficioso	inofficiose
integrable	integrabile
lanoso	lanose
mandante	mandante
mesurable	mesurabile
monoico	monoic
neurasténico	neurasthenic
papable	papabile
paseante	promenante
perforante	perforante
perimétrico	perimetric
poblador	populante
precordial	precordial
proposicional	propositional
regulativo	regulative
sostenedor	sustenente
transilvano	transylvan
tropológico	tropologic
vitelino	vitellin
antimonárquico	antimonarchic
aprehensivo	apprehensive
atormentador	tormentante
celtibérico	celtiberic
cerrador	claudente
concesivo	concessive
curial	curial
denominativo	denominative
dilemático	dilemmatic
dispersivo	dispersive
distanciador	distantiante
divisionario	divisionari
emigratorio	emigratori
espástico	spastic
exantemático	exanthematic
felón	felon
graduable	graduabile
idólatra	idolatra
inelegible	ineligibile
inquisitorio	inquisitori
micrométrico	micrometric
mordedor	mordente
morfogenético	morphogenetic
paracentral	paracentral
pedunculado	pedunculate
pirómano	pyromane
pubiano	pubian
reprobador	reprobante
termoplástico	thermoplastic
trotador	trottante
unitivo	unitive
acrocéntrico	acrocentric
ascensional	ascensional
asociable	associabile
bíceps	bicipite
continente	continente
cotizable	quotisabile
decadentista	decadentistic
destilador	distillante
eritreo	eritree
falsificador	falsificante
fosilífero	fossilifere
fotomecánico	photomechanic
gesticular	gesticular
higroscópico	hygroscopic
híspido	hispide
increado	increate
inculpatorio	inculpatori
indiciario	indiciari
inidentificable	inidentificabile
malhechor	malfaciente
nivelador	nivellante
octal	octal
oligoceno	oligocen
palatal	palatal
paleoceno	paleocen
paralingüístico	paralinguistic
partenogenético	parthenogenetic
pitio	pythie
pugnaz	pugnace
secuaz	sequace
sodomita	sodomita
sofista	sophista
sudorífico	sudorific
tentacular	tentacular
unicolor	unicolor
vasomotor	vasomotor
ventrílocuo	ventriloque
verificador	verificante
actínico	actinic
alabastrino	alabastrin
antihistamínico	antihistaminic
aqueo	aquee
asíncrono	asynchrone
buceador	immergente
caracterológico	characterologic
cataléptico	cataleptic
colorimétrico	colorimetric
delimitador	delimitatori
denigratorio	denigratori
depilatorio	depilatori
desorientador	disorientante
diftérico	diphteric
discutidor	discutente
edificador	edificante
entrador	entratori
esferoidal	spheroidal
excusable	excusabile
expropiador	expropriante
fauvista	fauvista
filtrador	filtratori
financiable	financiabile
fotoconductor	photoconductor
fungoso	fungose
gálico	gallic
hidrófobo	hydrophobe
imitable	imitabile
inmodesto	immodeste
macromolecular	macromolecular
motivo	motive
mucilaginoso	mucilaginose
multiplicativo	multiplicative
nepalés	nepalese
obstruccionista	obstructionista
odorante	odorante
pericárdico	pericardic
piriforme	piriforme
plutocrático	plutocratic
providente	providente
radiotelegráfico	radiotelegraphic
regable	rigabile
sagital	sagittal
semioficial	semiofficial
supramunicipal	supramunicipal
xilográfico	xylographic
ambrosiano	ambrosian
ampliatorio	ampliatori
anticorrosivo	anticorrosive
apretador	premente
archivador	archivante
aumentativo	augmentative
avariento	avar
batimétrico	bathymetric
benzoico	benzoic
censitario	censitari
complexo	complexe
denunciable	denunciabile
derivativo	derivative
deslizable	glissabile
detrítico	detritic
diagramático	diagrammatic
dirimente	dirimente
discorde	discorde
disipador	dissipante
diádico	dyadic
dosificador	dosante
educable	educabile
embriológico	embryologic
envasador	invasante
eyaculatorio	ejaculatori
fecundador	fecundante
fulgente	fulgente
hipnotizador	hypnotisatori
implantador	implantante
indeterminable	indeterminabile
interdental	interdental
lancinante	lancinante
lucidor	lucitori
malacológico	malacologic
mefítico	mephitic
obsesionante	obsedente
octosílabo	octosyllabe
olivarero	olivari
plutónico	plutonic
polipeptídico	polypeptidic
prior	prior
procreador	procreante
pulverulento	pulverulente
reorganizador	reorganisante
reprensible	reprehensibile
rostral	rostral
silúrico	siluric
sublunar	sublunar
sujetador	tenente
séxtuple	sextuple
televisual	televisual
tuareg	tuareg
visivo	visive
barbárico	barbaric
bañador	baniante
camorrista	bellicose
clavicular	clavicular
conservativo	conservative
diametral	diametral
dirigista	dirigista
exotérmico	exothermic
extintor	extinctor
gastador	guastante
gárrulo	garrule
hidrolítico	hydrolytic
hipercrítico	hypercritic
indisputable	indisputabile
intercurrente	intercurrente
invitador	invitante
irracionalista	irrationalista
laical	laical
observante	observante
parador	parante
patizambo	valge
petroso	petrose
poligámico	polygamic
purpurino	purpurin
razonador	rationante
reclamante	reclamante
renano	rhenan
saltante	saltante
transformista	transformista
vernal	vernal
volante	volante
afásico	aphasic
agonístico	agonistic
antialcohólico	antialcoholic
anticipador	anticipatori
arquitectural	architectural
bimetálico	bimetallic
calificable	qualificabile
catequístico	catechistic
caucasiano	caucasian
confortador	confortatori
disciplinante	disciplinante
distrófico	dystrophic
electronuclear	electronuclear
enciclopedista	encyclopedista
enumerativo	enumerative
estigmatizador	stigmatisante
estulto	stulte
fitopatológico	phytopathologic
flotador	flotatori
glutinoso	glutinose
impugnable	impugnabile
incumplidor	disobediente
instalador	installante
intersexual	intersexual
inviolado	inviolate
irrecusable	irrecusabile
leucémico	leucemic
luciente	lucente
malar	malar
metalográfico	metallographic
monocristalino	monocrystallin
opalescente	opalescente
podador	putante
precitado	precitate
prevaricador	prevaricante
prioral	prioral
prostético	prosthetic
ramoso	ramose
recocido	recocite
redimible	redimibile
reintegrable	reintegrabile
reprendido	reprendite
riscoso	riscose
sinusoidal	sinusoidal
tocador	toccatori
tricéfalo	tricephale
trifoliado	trifoliate
vigesimal	vigesimal
vándalo	vandale
adulterino	adulterin
altimétrico	altimetric
amortizable	amortisabile
andador	camminante
argénteo	argentee
augural	augural
cianótico	cyanotic
claustral	claustral
clorótico	chlorotic
compromisorio	compromissori
confluente	confluente
confín	confin
conmutable	commutabile
cosaco	cosac
diminutivo	diminutive
exequible	exequibile
flatulento	flatulente
férvido	fervite
graciable	gratiabile
hipersónico	hypersonic
horaciano	horatian
innatural	innatural
italianizante	italianisante
lenitivo	lenitive
mantuano	mantuan
mirífico	mirific
mistagógico	mystagogic
orientable	orientabile
ovular	ovular
patagón	patagon
patognomónico	pathognomonic
patrilineal	patrilineal
pluridimensional	pluridimensional
recortable	retaliabile
refutable	refutabile
saqueador	saccheante
senescente	senescente
sinodal	synodal
sucursal	succursal
superfino	superfin
suplidor	supplitori
supurativo	suppurative
utopista	utopista
variegado	variegate
zoomórfico	zoomorphic
anticongelante	anticongelante
anulable	annullabile
asociacionista	associationista
atributivo	attributive
carboxílico	carboxylic
condigno	condigne
congénere	congenere
deformador	deformante
digestible	digestibile
ditirámbico	dithyrambic
excitador	excitatori
exogámico	exogamic
extrafino	extrafin
farináceo	farinacee
fúlgido	fulgite
gallinero	galliner
gascón	gascon
hidrófugo	hydrofuge
inconspicuo	inconspicue
interventricular	interventricular
lepidóptero	lepidoptere
misantrópico	misanthropic
mnemónico	mnemonic
monódico	monodic
orbitario	orbitari
ovíparo	ovipare
oxálico	oxalic
patrístico	patristic
poligráfico	polygraphic
predicativo	predicative
preparativo	preparative
preposicional	prepositional
presináptico	presynaptic
protegible	protegibile
psicógeno	psychogene
saturnal	saturnal
silbador	sibilante
sinódico	synodic
séptuple	septuple
teratológico	teratologic
testáceo	testacee
triádico	triadic
virginiano	virginian
voltaico	voltaic
zorruno	vulpin
ablandador	ablandante
alterable	alterabile
amiláceo	amylacee
arquimediano	archimedian
astrobiológico	astrobiologic
astrólogo	astrologic
bacteriostático	bacteriostatic
centrifugador	centrifugante
coagulante	coagulante
copulativo	copulative
denegatorio	denegatori
desecador	dissecante
dialítico	dialytic
dicótomo	dichotome
diseminador	disseminante
disociativo	dissociative
dispéptico	dyspeptic
divagante	divagante
dosimétrico	dosimetric
eidético	eidetic
engendrador	ingenerante
exaltador	exaltante
fluente	fluente
friable	friabile
germicida	germicida
incluso	incluse
interlocutorio	interlocutori
laticífero	laticifere
lexical	lexical
lionés	lyonese
masticador	masticante
plantador	plantante
politeísta	polytheista
proyectista	projectista
reemplazante	reimplaciante
roncador	roncante
sacarino	saccharin
saltador	saltatori
sellador	sigillante
sensorio	sensorial
silogístico	syllogistic
surtidor	rendente
termográfico	thermographic
usufructuario	usufructuari
venatorio	venatori
verticilado	verticillate
émulo	emule
adversativo	adversative
agobiador	supercargante
arteriosclerótico	arteriosclerotic
asténico	asthenic
autógeno	autogene
bombardero	bombarder
calentador	calente
clorofílico	chlorophyllic
colusorio	collusori
compresible	compressibile
condensador	condensante
connivente	connivente
contrastivo	contrastive
céreo	ceree
deformable	deformabile
despachador	dispachante
dilatador	dilatante
encáustico	encaustic
endoplásmico	endoplasmic
envenenador	invenenante
estenográfico	stenographic
esterilizador	sterilisante
eutanásico	euthanasic
experimentador	experimentante
exudativo	exsudative
fanerógamo	phanerogame
feriante	feriante
fotocopiador	photocopiante
frisón	frison
fuliginoso	fuliginose
fundente	fundente
gravimétrico	gravimetric
hanseático	hanseatic
iliaco	iliac
